lon,lat
-83.792611,30.783058
-83.79266,30.78634
-83.792695,30.794724
-83.79271,30.78873
-83.792721,30.784815
-83.79278,30.7928
-83.79283,30.78523
-83.79284,30.79913
-83.79301,30.79167
-83.79317,30.88605
-83.79317,30.88608
-83.793195,30.78446
-83.79323,30.7829
-83.79327,30.79282
-83.79343,30.89235
-83.79357,30.79284
-83.79357,30.85532
-83.79358,30.79763
-83.79369,30.89016
-83.793786,30.800904
-83.79382,30.79725
-83.79383,30.78553
-83.79397,30.78639
-83.79399,30.79298
-83.794086,30.911013
-83.79417,30.88565
-83.79418,30.91381
-83.794265,30.793565
-83.79449,30.88982
-83.794653,30.813823
-83.795011,30.796959
-83.79501,30.8842
-83.79506,30.79448
-83.79506,30.89152
-83.79517,30.79682
-83.795212,30.911034
-83.79524,30.87724
-83.79529,30.81555
-83.79531,30.88599
-83.795325,30.911036
-83.79539,30.79062
-83.795409,30.862651
-83.79543,30.79494
-83.795595,30.859983
-83.79563,30.91191
-83.79579,30.86467
-83.79587,30.79739
-83.79592,30.79331
-83.79617,30.80908
-83.796193,30.892627
-83.79624,30.78507
-83.796274,30.800738
-83.796,30.87426
-83.79634,30.78168
-83.79659,30.79254
-83.79683,30.91306
-83.79687,30.83914
-83.79691,30.78223
-83.79691,30.78244
-83.7969,30.78393
-83.796934,30.797103
-83.79694,30.7817
-83.79698,30.91586
-83.79707,30.78273
-83.797078,30.800408
-83.79714,30.86411
-83.79724,30.88043
-83.7973,30.79473
-83.79735,30.86386
-83.797398,30.862496
-83.79741,30.91458
-83.7974,30.88447
-83.79744,30.79355
-83.79755,30.78351
-83.79757,30.78224
-83.79762,30.79478
-83.79766,30.79459
-83.79766,30.87771
-83.79766,30.87772
-83.79776,30.87247
-83.79778,30.86459
-83.79778,30.87212
-83.79779,30.79797
-83.797919,30.910862
-83.79793,30.9121
-83.79796,30.86405
-83.79797,30.8768
-83.797985,30.795232
-83.79801,30.79482
-83.79803,30.91405
-83.79804,30.82512
-83.7981,30.82196
-83.7981,30.82267
-83.79819,30.78291
-83.79822,30.91236
-83.798243,30.795272
-83.79825,30.86522
-83.79826,30.83982
-83.79827,30.86486
-83.79827,30.86616
-83.798277,30.794658
-83.79828,30.78232
-83.79833,30.83037
-83.79835,30.83067
-83.79836,30.8296
-83.79836,30.84359
-83.79837,30.83278
-83.79848,30.83841
-83.798508,30.783339
-83.79854,30.83781
-83.798656,30.795311
-83.79877,30.78173
-83.79879,30.87633
-83.79881,30.79805
-83.79885,30.78265
-83.79889,30.8753
-83.79894,30.79372
-83.798957,30.84356
-83.79907,30.86115
-83.79913,30.87424
-83.799175,30.883099
-83.79922,30.79376
-83.79922,30.79496
-83.799,30.79764
-83.799,30.87579
-83.79935,30.84206
-83.79935,30.84259
-83.79937,30.88077
-83.79938,30.78222
-83.79938,30.8729
-83.799407,30.782772
-83.7995,30.79499
-83.7995,30.87658
-83.79955,30.87531
-83.799603,30.884213
-83.7996,30.87161
-83.79971,30.79275
-83.79971,30.8458
-83.7997,30.79381
-83.79973,30.79195
-83.79983,30.86971
-83.79995,30.78184
-83.80007,30.87437
-83.80015,30.79578
-83.80034,30.79704
-83.80042,30.79294
-83.80043,30.7939
-83.80082,30.69263
-83.80082,30.7963
-83.80082,30.79688
-83.800839,30.69531
-83.801024,30.696361
-83.80105,30.87671
-83.801259,30.69531
-83.80129,30.69539
-83.80132,30.87047
-83.8013,30.79512
-83.80154,30.91089
-83.80162,30.69546
-83.80166,30.79536
-83.80169,30.85611
-83.80174,30.69658
-83.80174,30.87355
-83.80176,30.87186
-83.801783,30.693824
-83.80184,30.90043
-83.80186,30.79406
-83.80195,30.79519
-83.801955,30.727657
-83.80213,30.69358
-83.802188,30.699909
-83.80247,30.89389
-83.80257,30.70107
