lon,lat,count
-83.76332,30.757,1
-83.76339,30.75991,1
-83.763453,30.884493,1
-83.76353,30.75826,1
-83.76366,30.85639,1
-83.763708,30.809521,1
-83.763721,30.836855,1
-83.76376,30.75931,1
-83.76388,30.6917,1
-83.764358,30.755454,1
-83.764708,30.755208,1
-83.764743,30.858661,1
-83.7648,30.88334,1
-83.76511,30.75509,1
-83.765245,30.80929,1
-83.76565,30.80809,1
-83.76579,30.91323,1
-83.765845,30.855259,1
-83.765862,30.808804,1
-83.76586,30.8089,1
-83.766228,30.833207,1
-83.76669,30.85301,1
-83.767178,30.808207,1
-83.76718,30.80821,1
-83.76753,30.76335,1
-83.768175,30.758356,1
-83.76838,30.74939,1
-83.768901,30.75505,1
-83.769259,30.798668,1
-83.76955,30.74886,1
-83.76974,30.74847,1
-83.77041,30.75445,1
-83.770463,30.754113,1
-83.770546,30.755042,1
-83.770626,30.820816,1
-83.77121,30.79011,1
-83.77199,30.74982,1
-83.772042,30.850891,1
-83.772209,30.822514,1
-83.77282,30.74878,1
-83.773009,30.828193,1
-83.773038,30.827621,1
-83.774838,30.826669,1
-83.77522,30.88788,1
-83.77526,30.86175,1
-83.775753,30.812788,1
-83.775806,30.87648,1
-83.77581,30.87648,1
-83.77585,30.77092,1
-83.7761,30.7873,1
-83.77613,30.90917,1
-83.77655,30.79141,1
-83.776768,30.901012,1
-83.77686,30.87873,1
-83.77695,30.7904,1
-83.77696,30.87256,1
-83.77725,30.89313,1
-83.77735,30.90977,1
-83.77784,30.89621,1
-83.77824,30.74853,1
-83.77846,30.80735,1
-83.77852,30.79153,1
-83.77909,30.87855,1
-83.77911,30.77915,1
-83.77916,30.75461,1
-83.77917,30.75462,1
-83.77932,30.79296,1
-83.77933,30.83035,1
-83.77967,30.85308,1
-83.779723,30.815905,1
-83.77991,30.87905,1
-83.7802,30.79003,1
-83.78036,30.80846,1
-83.78038,30.79294,1
-83.78041,30.80954,1
-83.780511,30.816589,1
-83.78053,30.8729,1
-83.78069,30.79298,1
-83.7809,30.79185,1
-83.7809,30.81623,1
-83.78118,30.90834,1
-83.781265,30.788552,1
-83.78133,30.79743,1
-83.78134,30.7977,1
-83.78134,30.79818,1
-83.78134,30.79839,1
-83.78134,30.79867,1
-83.78135,30.79888,1
-83.78154,30.79013,1
-83.78165,30.78752,1
-83.78165,30.78842,1
-83.78181,30.79769,1
-83.78182,30.79855,1
-83.78196,30.74902,1
-83.782164,30.80043,1
-83.78217,30.78514,1
-83.782251,30.910688,1
-83.78246,30.81317,1
-83.78247,30.79894,1
-83.78254,30.79207,1
-83.78275,30.80854,1
-83.78283,30.79322,1
-83.7829,30.78826,1
-83.78293,30.78799,1
-83.782937,30.760304,1
-83.78,30.79282,1
-83.78313,30.79193,1
-83.78335,30.79118,1
-83.78342,30.80969,1
-83.78346,30.81011,1
-83.78352,30.78415,1
-83.78366,30.76894,1
-83.7837,30.79211,1
-83.78375,30.794585,1
-83.7839,30.79087,1
-83.783941,30.890247,1
-83.783946,30.83675,1
-83.78395,30.7809,1
-83.78399,30.81709,1
-83.78407,30.79215,1
-83.784187,30.763247,1
-83.78419,30.78872,1
-83.78421,30.79125,1
-83.78428,30.80182,1
-83.78429,30.80931,1
-83.78441,30.77015,1
-83.78441,30.78726,1
-83.78441,30.83724,1
-83.78444,30.81039,1
-83.78445,30.80975,1
-83.78453,30.79134,1
-83.78457,30.77488,1
-83.78459,30.78935,1
-83.784634,30.79461,1
-83.78465,30.77586,1
-83.78465,30.91216,1
-83.78468,30.77378,1
-83.7847,30.7868,1
-83.78473,30.82078,1
-83.78474,30.8525,1
-83.78477,30.79137,1
-83.78488,30.82942,1
-83.78495,30.84699,1
-83.78497,30.84799,1
-83.78503,30.79863,1
-83.78507,30.79235,1
-83.78523,30.774269,1
-83.78524,30.79191,1
-83.785245,30.79978,1
-83.78529,30.78745,1
-83.785298,30.796501,1
-83.785342,30.796178,1
-83.78535,30.79107,1
-83.78543,30.72363,1
-83.78543,30.79026,1
-83.785492,30.801867,1
-83.78549,30.81989,1
-83.7856,30.79205,1
-83.7856,30.79548,1
-83.78564,30.89623,1
-83.78568,30.77604,1
-83.78578,30.79872,1
-83.78581,30.75664,1
-83.78581,30.79745,1
-83.78592,30.91489,1
-83.78595,30.76277,1
-83.78604,30.78898,1
-83.78612,30.78517,1
-83.78616,30.81924,1
-83.78624,30.79062,1
-83.78627,30.85414,1
-83.7863,30.78957,1
-83.78633,30.78588,1
-83.78635,30.88577,1
-83.78637,30.78901,1
-83.7864,30.78434,1
-83.7864,30.79632,1
-83.78647,30.79934,1
-83.78675,30.79714,1
-83.78678,30.79518,1
-83.78681,30.78947,1
-83.78687,30.78905,1
-83.78688,30.78275,1
-83.78688,30.78818,1
-83.78692,30.87683,1
-83.78694,30.78976,1
-83.78707,30.79802,1
-83.78708,30.91342,1
-83.78719,30.85364,1
-83.78738,30.79048,1
